数据库：主要城市年度数据
指标：国内生产总值(亿元)
时间：1980-2021
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年
广州,,23629.00,22859.35,21503.15,19547.44,18100.41,16706.87,15420.14,13551.20,12423.44,10748.30,9138.00,8215.82,7109.18,6073.83,5154.23,4115.80,3496.88,3001.48,2685.76,,,,,,,,,510.70,,,,,,,,,,,,
深圳,,26927.00,24221.98,22490.06,19492.60,17502.86,16001.82,14500.23,12950.10,11505.53,9581.50,8201.00,7806.54,6801.57,5813.56,4950.91,3422.80,2895.41,2256.83,1954.17,,,,,,,,,284.96,,,,,,,,,,,,
南宁,,4507.00,4026.91,4118.83,3703.33,3410.09,3148.30,2803.54,2503.20,2211.40,1800.30,1525.00,1316.21,1069.01,870.15,723.36,588.86,502.53,356.07,324.79,,,,,,,,,62.48,,,,,,,,,,,,
海口,,1672.00,1510.51,1390.58,1257.67,1161.96,1091.70,904.64,818.80,713.30,595.10,490.00,443.18,393.69,350.12,301.35,253.02,228.86,162.70,145.65,,,,,,,,,37.90,,,,,,,,,,,,
重庆,25002.79,23605.80,21588.80,20066.30,18023.00,16040.50,14623.80,13027.60,11595.40,10161.20,8065.30,6651.20,5899.50,4770.70,3900.30,3448.40,3059.50,2615.60,2279.80,2014.60,1822.10,1687.80,1622.40,1525.30,1326.40,1130.60,838.10,611.10,462.50,374.18,327.75,303.75,261.27,206.73,184.60,164.32,141.64,120.01,108.08,97.20,90.68
成都,,17013.00,15342.77,13889.39,12170.23,10801.16,10056.59,9108.89,8138.90,6854.58,5551.30,4503.00,3900.99,3324.17,2750.48,2370.76,2185.73,1870.80,1667.10,1492.04,,,,,,,,,,,,,,,,,,,,,
贵阳,,4040.00,3798.45,3537.96,3157.70,2891.16,2497.27,2085.42,1700.30,1383.07,1121.80,972.00,811.05,693.72,602.88,525.62,443.63,380.92,336.37,302.75,,,,,,,,,62.17,,,,,,,,,,,,
昆明,,6476.00,5206.90,4857.64,4300.08,3968.01,3712.99,3415.31,3011.10,2509.58,2120.40,1809.00,1511.68,1405.05,1207.29,1061.55,942.14,812.01,730.08,673.06,,,,,,,,,141.67,,,,,,,,,,,,
拉萨,,618.00,540.78,479.25,424.95,376.73,347.45,304.87,260.10,222.42,,163.00,142.05,121.91,,,,64.20,20.78,18.80,20.00,33.55,8.00,6.90,,,,,,,,,,,,,,,,,
西安,,9321.00,8349.86,7469.85,6257.18,5801.20,5492.64,4884.13,4366.10,3864.21,3241.50,2724.00,2190.04,1763.73,1473.68,1270.14,1095.87,941.60,823.50,733.85,,,,,,,,,143.08,,,,,,,,,,,,
兰州,,2837.00,2732.94,2523.54,2264.23,2095.99,2000.94,1776.28,1563.80,1360.03,1100.40,926.00,846.28,732.76,638.47,567.04,504.65,440.08,386.78,348.75,,,,,,,,,84.76,,,,,,,,,,,,
西宁,,1328.00,1286.41,1284.91,1248.17,1131.62,1065.78,978.53,851.10,770.70,628.30,501.00,422.19,342.46,281.61,237.57,174.74,144.83,121.34,104.49,,,,,,,,,26.22,,,,,,,,,,,,
银川,,1897.00,1901.48,1803.26,1617.71,1493.86,1388.62,1289.02,1150.90,986.68,769.40,578.00,514.11,408.60,335.29,288.50,188.97,156.78,133.46,104.82,,,,,,,,,28.64,,,,,,,,,,,,
乌鲁木齐,,3413.00,3099.77,2743.82,2458.98,2631.64,2461.47,2202.85,2004.10,1690.03,1338.50,1095.00,1020.35,820.28,654.30,562.50,484.26,408.58,354.44,315.00,,,,,,,,,84.18,,,,,,,,,,,,
数据来源：国家统计局
